Nome,Descricao,Genero,Pais,Emprego,Ano nasc,Ano morte
Abraham Lincoln,16th president of the United States (1809-1865),Male,United States of America,Politician,1809,1865
Adolf Hitler,"Austrian-born German politician, chancellor and Führer of Germany, leader of the Nazi Party (1889-1945)",Male,Nazi Germany; Austria-Hungary; Weimar Republic; Republic of German-Austria; First Republic of Austria,Statesperson,1889,1945
Albert Einstein,German-born theoretical physicist; developer of the theory of relativity (1879–1955),Male,United States of America; Switzerland; Austria-Hungary; Weimar Republic; German Empire,Researcher,1879,1955
Alessandro Manzoni,Italian poet and novelist (1785-1873),Male,Kingdom of Sardinia; Kingdom of Italy,Artist,1785,1873
Alessandro Volta,"Italian physicist, chemist, and pioneer of electricity and power",Male,Duchy of Milan; Kingdom of Lombardy–Venetia; Cisalpine Republic; Kingdom of Italy,Researcher,1745,1827
André-Marie Ampère,French physicist and mathematician,Male,France,Researcher,1775,1836
Andrei Rublev,medieval Russian artist,Male,Grand Duchy of Moscow,Artist,1360,1428
Andrei Sakharov,Soviet nuclear physicist and human rights activist,Male,Soviet Union; Russian Soviet Federative Socialist Republic,Researcher,1921,1989
Andrei Tarkovsky,"Soviet and Russian filmmaker, writer, film editor, film theorist, and theatre and opera director",Male,Soviet Union,Artist,1932,1986
Antonio Segni,4th President of Italy (1891-1972),Male,Italy; Kingdom of Italy,Politician,1891,1972
Aristotle,ancient Greek philosopher,Male,,Philosopher,-384,-322
Arthur Rimbaud,"19th century French poet who influenced modern literature and arts, and prefigured surrealism",Male,France; French Third Republic; Second French Empire,Artist,1854,1891
Arturo Alessandri,Chilean politician and President,Male,Chile,Politician,1868,1950
Augusto Pinochet,"General, politician of Chile (1915-2006)",Male,Chile,Politician,1915,2006
"Ulrich Frédéric Woldemar, Comte de Lowendal",German-born French soldier and statesmen (1700-1755),Male,Denmark; Russian Empire; Kingdom of France; Electorate of Saxony,Politician,1700,1755
Blaise Pascal,"French mathematician, physicist, inventor, writer, and Christian philosopher",Male,Kingdom of France,Researcher,1623,1662
Blanche of Castile,"Spanish princess and saint, queen consort of France",Female,Kingdom of Castile,Regent,1188,1252
Bob Marley,"Jamaican singer, songwriter and musician",Male,Jamaica,Artist,1945,1981
Boutros Boutros-Ghali,6th Secretary-General of the United Nations (1922-2016),Male,Egypt,Artist,1922,2016
Carl Linnaeus,"Swedish botanist, physician, and zoologist (1707-1778)",Male,Sweden,Researcher,1707,1778
Carl Sagan,"American astrophysicist, cosmologist, author and science educator",Male,United States of America,Researcher,1934,1996
Carlo Azeglio Ciampi,10th President of Italy,Male,Italy; Kingdom of Italy,Politician,1920,2016
Carlos Ibáñez del Campo,Chilean army officer and political figure (1877-1960),Male,Chile,Politician,1877,1960
Charles Baudelaire,"French poet, essayist and art critic (1821-1867)",Male,France,Artist,1821,1867
Charles Darwin," (1809-1882)",Male,United Kingdom of Great Britain and Ireland,Researcher,1809,1882
Charlie Chaplin,British comic actor and filmmaker (1889-1977),Male,United Kingdom,Artist,1889,1977
Claude Bourgelat,French veterinary surgeon,Male,Kingdom of France,Artist,1712,1779
Claude Monet,French impressionist painter (1840-1926),Male,France,Artist,1840,1926
Cleopatra,last active pharaoh of Ptolemaic Egypt,Female,Ancient Egypt,Sovereign,-69,-30
Dag Hammarskjöld,"Swedish diplomat, economist, and author (1905-1961)",Male,Sweden,Artist,1905,1961
Dante Alighieri,Italian poet (1265–1321),Male,Republic of Florence,Artist,1265,1321
